Team Name,Region,Regional Rank,Wins,Losses
UConn,East,1,31,3
Stetson,East,16,22,12
Florida Atlantic,East,8,25,8
Northwestern,East,9,21,11
San Diego State,East,5,24,10
UAB,East,12,22,11
Auburn,East,4,27,7
Yale,East,13,22,9
BYU,East,6,23,10
Duquesne,East,11,24,11
Illinois,East,3,26,8
Morehead State,East,14,26,8
Washington State,East,7,24,9
Drake,East,10,28,6
Iowa State,East,2,27,7
South Dakota State,East,15,22,12
North Carolina,West,1,27,7
Howard,West,16,100,100
Mississippi State,West,8,21,13
Michigan State,West,9,19,14
Saint Mary's,West,5,26,7
Grand Canyon,West,12,29,4
Alabama,West,4,21,11
Charleston,West,13,27,7
Clemson,West,6,21,11
New Mexico,West,11,26,9
Baylor,West,3,23,10
Colgate,West,14,25,9
Dayton,West,7,24,7
Nevada,West,10,26,7
Arizona,West,2,25,8
Long Beach State,West,15,21,14
Houston,South,1,30,4
Longwood,South,16,21,13
Nebraska,South,8,23,10
Texas A&M,South,9,20,14
Wisconsin,South,5,22,12
James Madison,South,12,31,3
Duke,South,4,24,8
Vermont,South,13,28,6
Texas Tech,South,6,23,10
NC State,South,11,22,14
Kentucky,South,3,23,9
Oakland,South,14,23,11
Florida,South,7,24,11
Colorado,South,10,100,100
Marquette,South,2,25,9
Western Kentucky,South,15,22,11
Purdue,Midwest,1,29,4
Grambling,Midwest,16,100,100
Utah State,Midwest,8,27,6
TCU,Midwest,9,21,12
Gonzaga,Midwest,5,25,7
McNeese State,Midwest,12,30,3
Kansas,Midwest,4,22,10
Samford,Midwest,13,29,5
South Carolina,Midwest,6,26,7
Oregon,Midwest,11,23,11
Creighton,Midwest,3,23,9
Akron,Midwest,14,24,10
Texas,Midwest,7,20,12
Virginia,Midwest,10,100,100
Tennessee,Midwest,2,24,8
Saint Peter's,Midwest,15,19,13
